stage	event	anchor	idx	w	jp	ko	note
2	4	0338B4	0	000C	やつらを にがすな!おえ!	놈들을 놓치지 마라! 쫓아!	
2	6	0338CA	0	00A1	キャー!レディンさま!	꺄악! 레딘 님!	
2	6	0338CA	1	0000	クリス!	크리스!	
3	0	0338F2	0	00A1	レディンさま、たいへんです!	레딘 님, 큰일입니다!	
3	0	0338F2	1	0000	クリス、こんなよふけに、どうしたんだい?	크리스, 이런 밤중에\n무슨 일이야?	
3	0	0338F2	2	00A1	ひるまの とうぞくが まちに!\n\nいま、まちの ひとたちが たたかっています!	낮의 도적들이 마을에!\n지금 마을 사람들이\n싸우고 있습니다!	
3	0	0338F2	3	0000	しまった!やられたか!\n\nクリス、きみは まちの ひとと きょうかいに \n\nひなんしてくれ。	이런! 당했나!\n크리스, 너는 마을 사람들과\n교회로 피해 있어。	
3	0	0338F2	4	00A1	は、はい!	예, 예!	
3	0	0338F2	5	0001	むっ、ひるまの やつらか!	흠, 낮의 그놈들인가!	
3	1	0339AA	0	0000	これいじょう やらせるな!\n\nひとりのこらず まちから おいだせ!	더는 두지 마라!\n한 놈도 남기지 말고\n마을에서 몰아내라!	
3	2	0339D6	0	0008	シ・・・	커억。。。	
3	2	0339D6	1	0000	やっと おいはらったか・・・。	겨우 몰아냈군。。。	
3	2	0339D6	2	005B	レディンさま、レディンさまに おあいしたいと\n\nいうかたが みえております。	레딘 님, 레딘 님을\n뵙고 싶다는 분이\n와 계십니다。	
3	2	0339D6	3	0054	おうじ・・・。	왕자님。。。	
3	2	0339D6	4	0000	ナ-ム、ナ-ムじゃないか、\n\nいったい、どうしたんだ?	나암, 나암 아닌가,\n대체 무슨 일인가?	
3	2	0339D6	5	0054	しろが・・・、しろが おちました・・・。	성이。。。 성이\n함락되었습니다。。。	
3	2	0339D6	6	0000	そんな!ちちうえは どうなったのだ!	그럴 수가! 아버님은\n어찌 되셨나!	
3	2	0339D6	7	0054	・・・。	。。。	
3	2	0339D6	8	0000	まさか・・・。	설마。。。	
3	2	0339D6	9	0054	さいごに わたしを にがし、ひとりで てきに\n\nむかっていきました・・・。	마지막에 저를 도피시키고\n혼자 적에게\n맞서러 가셨습니다。。。	
3	2	0339D6	10	0000	ちちうえ・・・。\n\nホ-キングこう、わたしは すぐに しゅぱつ\n\nします!	아버님。。。\n호킹 공, 저는 곧\n출발하겠습니다!	
3	2	0339D6	11	0058	では、わたしは へいを あつめしだい \n\nむかいます。それまで むりは なさらぬよう。	그럼 저는 병력을 모으는 대로\n뒤따르겠습니다。 그때까지\n무리하지 마십시오。	
3	2	0339D6	12	0000	わかりました。	알겠습니다。	
3	2	0339D6	13	0054	わたしも まいります!	저도 함께 가겠습니다!	
3	2	0339D6	14	0000	ケガは だいじょうぶなのか?	상처는 괜찮은가?	
3	2	0339D6	15	0054	このまま、ひきさがるわけには まいりません。	이대로 물러날 수는\n없습니다。	
3	2	0339D6	16	0000	わかった。しかし むりは するんじゃないぞ。	알았다。 하지만\n무리는 하지 마라。	
3	2	0339D6	17	00A1	いってしまわれるのですね・・・レディンさま。	가시는 거군요。。。\n레딘 님。	
3	2	0339D6	18	0000	クリス・・・。	크리스。。。	
3	2	0339D6	19	00A1	ごぶうんを おいのりしています・・・。	무운을 빌겠습니다。。。	
3	2	0339D6	20	0054	それから、このけんを イルザックおうから\n\nおうじに わたしてくれと・・・。	그리고 이 검을 일자크 왕께서\n왕자님께 전하라고。。。	
3	2	0339D6	21	0000	ちちうえ・・・。\n\n"グレートソードを てにいれた。"	아버님。。。\n「그레이트소드를 얻었다。」	
3	3	0385DA	0	01F4	レディンさま・・・	레딘 님。。。	
3	4	033CC8	0	00A2	とうぞくたちを このまちから たたきだせ!	도적들을 이 마을에서\n쫓아내라!	
3	4	033CC8	1	0008	かねめのものは ぜんぶ うばいとれ!	값나가는 건 모두\n빼앗아라!	
4	0	033D00	0	0000	かなりふかい もりだな・・・・。	상당히 깊은 숲이군。。。	
4	0	033D00	1	005B	レディンさま、このもりは たいへん きけんで\n\nす はやくぬけましょう。	레딘 님, 이 숲은 매우\n위험합니다。 서둘러\n빠져나가시죠。	
4	0	033D00	2	0000	そうだな、しかし、なにか ようすが へんだぞ。	그렇군。 하지만 뭔가\n분위기가 이상하다。	
4	0	033D00	3	005C	たいへんです、バケモノに かこまれています!	큰일입니다, 괴물에게\n포위되었습니다!	
4	0	033D00	4	005B	バカな!やつらが そしきてきに うごくわけは\n\nない!	말도 안 돼! 놈들이\n조직적으로 움직일 리가\n없다!	
4	0	033D00	5	0000	くるぞ!きを つけろ!	온다! 조심해라!	
4	1	033DE6	0	0000	なぜだ、こいつらに ちのうは ないはずだぞ!	왜지, 이놈들에게\n지능은 없을 텐데!	
4	2	033E08	0	00A2	ぜんぐん とつげき!	전군 돌격!	
4	2	033E08	1	00A1	レディンさま!いま おたすけします!	레딘 님! 지금\n도우러 갑니다!	
4	2	033E08	2	0000	クリス!なぜここに!	크리스! 어째서 여기에!	
4	3	033E44	0	0000	!	!	
4	3	033E44	1	005B	バケモノが にげはじめました!	괴물이 도망치기\n시작했습니다!	
4	3	033E44	2	0000	たすかったか、しかし、なぜバケモノが・・・?	살았군。 하지만\n왜 괴물이。。。?	
4	3	033E44	3	00A2	レディンさま、ごぶじでしたか!	레딘 님, 무사하십니까!	
4	3	033E44	4	0000	ありがとう、たすかったよ。	고맙다, 덕분에 살았다。	
4	3	033E44	5	00A2	わたしは ソ-ンと もうします。 ホ-キング\n\nこうの めいにより、レディンさまの しきかに\n\nはいります。	저는 소온이라 합니다。\n호킹 공의 명으로\n레딘 님의 지휘 아래\n들어갑니다。	
4	3	033E44	6	0000	ありがたい。ところでクリス、きみは、なぜここ\n\nに?	고맙다。 그런데 크리스,\n너는 왜 여기에?	
4	3	033E44	7	00A1	わたしも おともさせてください!	저도 따라가게 해 주세요!	
4	3	033E44	8	0000	きみを? ダメだ きけんすぎる!	너를? 안 된다,\n너무 위험하다!	
4	3	033E44	9	00A1	おねがいです!けっして あしでまといには な\n\nりませんから・・・・。	부탁입니다! 절대\n짐이 되지는 않을 테니까요。。。	
4	3	033E44	10	0000	わかったよ、クリス・・・。	알았다, 크리스。。。	
4	3	033E44	11	00A2	あと、ホ-キングさまより クロスを\n\nあずかって きました。\n\n"クロスを てにいれた。"	그리고 호킹 님께서\n크로스를 맡기셨습니다。\n「크로스를 얻었다。」	
4	5	033FE0	0	005B	キサマらが ひによわいのは わかってるんだ!\n\nやっちまえ!	너희가 불에 약한 건\n알고 있다! 해치워라!	
5	0	034028	0	0008	・・・・。	。。。	
5	0	034028	1	008A	てきが せっきんしてきます!	적이 접근해 옵니다!	
5	0	034028	2	0008	よし、ぜんぐん ふじんを いそげ。	좋다, 전군 진형을\n서둘러라。	
5	0	034028	3	008B	はっ!	옛!	
5	0	034028	4	0008	フッフッフッ、バルティアの ざんとうか、\n\nけちらしてくれるわ。	후후후, 발티아의\n패잔병인가。 짓밟아 주마。	
5	0	034028	5	0000	ここを ぬければ バルティアじょうは めのま\n\nえだ。	여기를 지나면 발티아 성이\n눈앞이다。	
5	0	034028	6	005B	しかし、てきも まちかまえているのでは。	하지만 적도 기다리고\n있을 텐데요。	
5	0	034028	7	0000	だが、ここで さがるわけにもいかぬ、\n\nみんな しぬなよ!	그러나 여기서 물러설 수도\n없다。 모두 죽지 마라!	
5	1	034110	0	0008	わたしは くろきし ランス・カルザス!\n\nキサマらなど わたしの てきではないわ!	나는 흑기사 랜스 카르자스!\n너희 따위는 내 적이\n아니다!	
5	2	034146	0	0008	キサマ、なにものだ!	너는 누구냐!	
5	2	034146	1	0000	わたしは レディン、\n\nバルティアおうこくの おうじだ!	나는 레딘,\n발티아 왕국의 왕자다!	
5	2	034146	2	0008	このカリは、いずれ かえして もらうぞ、\n\nさらば!	이 빚은 언젠가\n갚아 받겠다。 잘 있어라!	
5	2	034146	3	0000	まて!	기다려!	
5	2	034146	4	005C	レディンさま	레딘 님	
5	2	034146	5	0000	バルティアじょうに むかうぞ、\n\nかならず、かならず とりもどしてみせる!	발티아 성으로 향한다。\n반드시, 반드시\n되찾아 보이겠다!	
5	2	034146	6	0001	おうじ!あぶない!うっ!	왕자님! 위험합니다! 윽!	
5	2	034146	7	0000	ヴォルコフ!	볼코프!	
5	2	034146	8	005B	ゆみやだ!まだちかくに いるはずだ、さがせ!	화살이다! 아직 가까이\n있을 것이다, 찾아라!	
5	2	034146	9	0000	ヴォルコフ、だいじょうぶか? しっかりしろ!	볼코프, 괜찮은가?\n정신 차려라!	
5	2	034146	10	0001	おうじ、どうやら わたしは ここまでのようで\n\nす。	왕자님, 저는 여기까지인\n듯합니다。	
5	2	034146	11	0000	な、なにをいう。	무, 무슨 말인가。	
5	2	034146	12	0001	おうじ、りっぱな こくおうに おなりになって\n\nください。	왕자님, 훌륭한 국왕이\n되어 주십시오。	
5	2	034146	13	0000	ヴォルコフ!めをさませ!ヴォルコフ!	볼코프! 눈을 떠라!\n볼코프!	
5	2	034146	14	0001	・・・。	。。。	
5	2	034146	15	0000	ヴォルコフ? ヴォルコ-フ!	볼코프? 볼코오프!	
5	3	0342DC	0	0000	てきの しきかんを たおすんだ!\n\nそれで てきは ばらばらに なるぞ!	적 지휘관을 쓰러뜨려라!\n그러면 적은 흩어진다!	
5	4	03430C	0	0008	いいか、ゆだんするなよ。	알겠나, 방심하지 마라。	
5	4	03430C	1	000B	はっ!	옛!	
5	4	03430C	2	000C	わかっております。	알고 있습니다。	
6	0	03433A	0	0008	キサマらごときに ここがおとせるものか、\n\nおろかものめ、かえりうちにしてくれる!	너희 따위가 이곳을\n떨어뜨릴 수 있겠나。\n어리석은 놈들,\n역으로 쳐 주마!	
6	0	03433A	1	0000	ついにやってきたぞ! ヴォルコフ、おまえにも\n\nみせてやりたかった・・・。	드디어 왔다! 볼코프,\n너에게도 보여 주고\n싶었다。。。	
6	0	03433A	2	005B	レディンさま!	레딘 님!	
6	0	03433A	3	0000	うむ、いくぞ、われにつづけ!	그래, 간다。 나를 따르라!	
6	1	0343C2	0	0008	ここまでだ、キサマらに、このゼルドさまが\n\nたおせるものか、ハッハッハッ!	여기까지다。 너희가\n이 젤드 님을 쓰러뜨릴 수\n있겠느냐, 하하하!	
6	2	0343F8	0	0008	ここまでやるとはな・・・さすがだ グフッ!\n\nダ、ダルシスていこくに えいこうあれ!	이만큼 해내다니。。。\n과연이군。 크윽!\n다, 다르시스 제국에\n영광이 있으라!	
6	2	0343F8	1	0000	しろのなかを しらべろ! とらわれているもの\n\nが いないか さがすんだ!	성 안을 조사해라!\n갇혀 있는 자가 없는지\n찾아라!	
6	2	0343F8	2	0055	おうじ!	왕자님!	
6	2	0343F8	3	0000	テイラ-!ぶじだったか!	테일러! 무사했나!	
6	2	0343F8	4	0055	みすみす いきはじを さらしてしまった・・。\n\nすまん!	허무하게 살아남는 수치를\n보였다。。。 미안하다!	
6	2	0343F8	5	0000	いや、そんなことはないさ。	아니, 그렇지 않다。	
6	2	0343F8	6	0052	レディンさま!	레딘 님!	
6	2	0343F8	7	0000	ジェシカ! よかった ぶじだったのか。	제시카! 잘됐군,\n무사했구나。	
6	2	0343F8	8	0052	それどころではありません!\n\nひけんラングリッサ-が こうていディゴスに\n\nうばわれてしまいました!	그럴 때가 아닙니다!\n비검 랑그릿사를\n황제 디고스에게\n빼앗겼습니다!	
6	2	0343F8	9	0000	!	!	
6	2	0343F8	10	0052	これは ごくいちぶのものしか しらぬことです\n\nが、あのけんの でんせつには おそるべきじじ\n\nつが かくされているのです。	이는 극히 일부만 아는\n일이지만, 그 검의\n전설에는 무서운 사실이\n숨겨져 있습니다。	
6	2	0343F8	11	0000	おそるべきじじつ?	무서운 사실?	
6	2	0343F8	12	0052	あのけんには いにしえの じゃあくを\n\nふうじていたのです。 そして、そのちからゆえ\n\nむげんのちからを あたえると いわれつつも\n\nひけんと されたのです。	그 검에는 태고의 사악이\n봉인되어 있었습니다。\n그 힘 때문에 무한한 힘을\n준다면서도 비검이 됐지요。	
6	2	0343F8	13	0000	なんということだ、しかも けんが うばわれた\n\nということは・・・。	이럴 수가。 더구나\n검을 빼앗겼다는 것은。。。	
6	2	0343F8	14	0052	じゃあくの ふっかつは じかんの もんだいで\n\nしょう。	사악의 부활은 시간\n문제일 것입니다。	
6	2	0343F8	15	0000	いっこくもはやくラングリッサ-を とりもどし\n\nふたたび じゃあくを ふうじなければ。	한시라도 빨리 랑그릿사를\n되찾아 다시 사악을\n봉인해야 한다。	
6	2	0343F8	16	0055	ディゴスは このことを しっているのか?	디고스는 이 일을\n알고 있는가?	
6	2	0343F8	17	0052	たぶんしらないでしょう。これをしっているのは\n\nこくおうと おうこくまどうしである わたし\n\nだけのはずです。	아마 모를 겁니다。 이를\n아는 것은 국왕과 왕국\n마도사인 저뿐일 테니까요。	
6	2	0343F8	18	0055	まずいな、そのじゃあくな ちからも\n\nラングリッサ-を ねらってくるかもしれない。	곤란하군。 그 사악한\n힘도 랑그릿사를 노릴지\n모른다。	
6	2	0343F8	19	0000	そうなるまえに てをうたなければ、\n\nちちうえ、みていてください。せかいのへいわは\n\nわたしが まもってみせます。	그전에 손을 써야 한다。\n아버님, 지켜봐 주십시오。\n세계의 평화는 제가\n지켜 보이겠습니다。	
6	2	0343F8	20	0055	そういえば、オレの シールドを\n\nしらないか?	그러고 보니, 내 실드를\n모르나?	
6	2	0343F8	21	005B	それなら、ちかしつで みつけました。\n\n"シールドを てにいれた。"	그거라면 지하실에서\n찾았습니다。\n「실드를 얻었다。」	
6	3	0347E8	0	0000	このしろは かえしてもらうぞ!\n\nひるむな、すすめ!	이 성은 돌려받겠다!\n주춤하지 마라, 나아가라!	
7	0	03480A	0	0008	ええい、まだおちぬのか、こうげきをつよめろ!\n\nたたきつぶせ!	에잇, 아직 안 떨어지나。\n공격을 강화하라!\n쳐부숴라!	
7	0	03480A	1	008A	はっ!	옛!	
7	0	03480A	2	00A1	てきも ほんきだな・・・・。	적도 진심이군。。。	
7	0	03480A	3	005B	だめです、かずが ちがいすぎます!\n\nこのままでは ぜんめつです!	안 됩니다, 수가 너무\n다릅니다! 이대로는\n전멸입니다!	
7	0	03480A	4	00A1	よわねをはくな!かならず おうじが たすけに\n\nきてくれる! それまで、がんばるんだ!	약한 소리 하지 마라!\n반드시 왕자님이 도우러\n오신다! 그때까지 버텨라!	
7	0	03480A	5	0000	アンゼルは だれが まもっている?	안젤은 누가 지키고 있나?	
7	0	03480A	6	005C	はっ、アルバ-トさまの たいです。	옛, 알버트 님의\n부대입니다。	
7	0	03480A	7	0000	さすがだ、よくもちこたえている。\n\nよし、てきを けちらせ!	역시로군, 잘 버티고 있다。\n좋다, 적을 쓸어버려라!	
7	1	03491A	0	00A1	ひるむな!いっぽも ひくな!	주춤하지 마라!\n한 걸음도 물러서지 마라!	
7	2	034930	0	0000	まっていろ、アルバ-ト、\n\nいま、たすけにいくぞ!	기다려라, 알버트。\n지금 도우러 간다!	
7	3	034954	0	000E	レディン!キサマの おもうようには\n\nさせんぞ!	레딘! 네 뜻대로는\n두지 않겠다!	
7	3	034954	1	0000	ランスか、じゃまをするな!	랜스인가, 방해하지 마라!	
7	3	034954	2	000E	そうは いかん、\n\nこのまえの カリは かえさせてもらう、\n\nいくぞ!	그럴 수는 없지。\n지난번 빚은 갚아 주마。\n간다!	
7	4	0349BA	0	000E	チッ!こうげきは しっぱいしたか、\n\nひきあげるぞ!	칫! 공격은 실패인가。\n물러난다!	
7	4	0349BA	1	0000	アルバ-ト、アルバ-トは いるか!	알버트, 알버트는 있나!	
7	4	0349BA	2	00A1	ここにおります、おうじ!	여기 있습니다, 왕자님!	
7	4	0349BA	3	0000	だいじょうぶか、おそくなってすまぬ。	괜찮은가, 늦어서 미안하다。	
7	4	0349BA	4	00A1	このぐらい、どうってことありませんよ。	이 정도, 아무것도\n아닙니다。	
7	4	0349BA	5	005B	ていさつたいより でんれい!\n\nてきの ぐんたいが こうたいしていくのを\n\nはっけんしました!	정찰대에서 전령입니다!\n적 군대가 후퇴하는 것을\n발견했습니다!	
7	4	0349BA	6	0000	ここが おとせなかったので こうぞくがさがる\n\nつもりだな。 よし ついげきするぞ!	이곳을 떨어뜨리지 못했으니\n후속이 물러설 셈이군。\n좋다, 추격한다!	
7	5	034AB6	0	00A1	む、むねん!	무, 무념!	
7	5	034AB6	1	005B	おうじ!アンゼルがおちました・・・。	왕자님! 안젤이\n함락되었습니다。。。	
7	5	034AB6	2	0000	ア、アルバ-ト・・・。	아, 알버트。。。	
7	6	034AF0	0	00A1	くっ!ここまでか!	윽! 여기까지인가!	
7	7	034B02	0	000D	やつらを すいじょうへ さそいこめ!\n\nりくのうえでは たたかうな!ふりになるぞ!	놈들을 수상으로 유인해라!\n육지에서는 싸우지 마라!\n불리해진다!	
8	0	034B36	0	0008	あんな とりで ひとつおとせないとは、\n\nおかげで われわれは いっせんもせずに\n\nてったいだ。	그런 요새 하나 못 떨어뜨리다니。\n덕분에 우리는 한 번도\n싸우지 못하고 철수다。	
8	0	034B36	1	008B	たいへんです、\n\nてきのついげきたいが せっきんしてきます!	큰일입니다,\n적 추격대가 접근해 옵니다!	
8	0	034B36	2	0008	まずいぞ、こんなところで つかまったら\n\nぜんめつだ、\n\nぜんいん、あのもりまで はしれ!	곤란하다, 이런 곳에서\n잡히면 전멸이다。\n전원, 저 숲까지 달려라!	
8	0	034B36	3	0000	つかまえたぞ!	잡았다!	
8	0	034B36	4	005B	てきは もりへ にげこむきです。	적은 숲으로 도망칠 셈입니다。	
8	0	034B36	5	0000	もりに はいられては めんどうだ、\n\nあたまを おさえろ、\n\nほういして たたきつぶせ!	숲에 들어가면 곤란하다。\n앞을 막아라。\n포위해서 쳐부숴라!	
8	1	034C38	0	000D	みかたの こうたいを えんごしろ!	아군의 후퇴를 엄호하라!	
8	1	034C38	1	008A	われわれが えんごします!\n\nいまのうちに はやく!	우리가 엄호합니다!\n그동안에 서둘러!	
8	1	034C38	2	0008	ありがたい! みんな、もりまで もうすぐだ、\n\nがんばれ!	고맙다! 모두, 숲까지\n얼마 안 남았다, 버텨라!	
8	1	034C38	3	0000	!	!	
8	1	034C38	4	005B	てきの えんぐんです!	적의 지원군입니다!	
8	1	034C38	5	0000	おのれ、ランス!\n\nひるむな、とっぱしろ!	이놈, 랜스!\n주춤하지 마라, 돌파하라!	
8	2	034CD6	0	000D	ぜんめつか・・・、\n\nレディン、おぼえていろよ!	전멸인가。。。\n레딘, 기억해 두겠다!	
8	2	034CD6	1	0000	おわったようだな・・・。	끝난 듯하군。。。	
8	2	034CD6	2	005B	おうじ、バルティアじょうから、\n\nダルシスしんこうの じゅんびが ととのったと\n\nれんらくが ありました。	왕자님, 발티아 성에서\n다르시스 침공 준비가\n갖춰졌다는 연락이\n왔습니다。	
8	2	034CD6	3	0000	そうか、ディゴスめ、くびを あらって\n\nまっていろ、かならず たおしてみせるぞ!	그렇군。 디고스, 목이나\n씻고 기다려라。 반드시\n쓰러뜨려 보이겠다!	
8	3	034D8A	0	000D	どうやら にげきったようだな、\n\nよし われわれも てったいする!\n\nレディン、こんかいは わたしのかちの\n\nようだな!ワッハッハッハッ!	아무래도 도망친 듯하군。\n좋다, 우리도 철수한다!\n레딘, 이번은 내 승리인\n듯하군! 와하하하!	
8	3	034D8A	1	0000	ランスめ、いまいっぽのところで・・・。	랜스 놈, 한 걸음\n남기고서。。。	
9	0	034DFE	0	0008	バルティアの やつらめ、ここは とうさんぞ!	발티아 놈들, 여기는\n못 지나간다!	
9	0	034DFE	1	0000	ほかに わたれるばしょは ないのか?	달리 건널 곳은 없나?	
9	0	034DFE	2	005B	ほかは ながれがきつく、むりのようです。	다른 곳은 물살이 거세\n무리인 듯합니다。	
9	0	034DFE	3	0000	しかたがない、きょうこうとっぱだ!	어쩔 수 없다, 강행 돌파다!	
9	1	034E70	0	000D	GuGyo!	GuGyo!	
9	1	034E70	1	000E	GuGyo!	GuGyo!	
9	1	034E70	2	0000	なんだ、あのバケモノも やつらのなかまか?	뭐냐, 저 괴물도\n놈들의 동료인가?	
9	1	034E70	3	0008	なにごとだ!	무슨 일이냐!	
9	1	034E70	4	008B	なんだ、なぜ こいつらが こんなところに!	뭐야, 왜 이놈들이\n이런 곳에!	
9	1	034E70	5	0008	ええい、うろたえるな、\n\nレディンもろとも たたきつぶせ!	에잇, 당황하지 마라。\n레딘과 함께 쳐부숴라!	
9	2	034EF8	0	0000	!	!	
9	2	034EF8	1	000F	これは これは、ひさしぶりだな レディン、\n\nまさか バケモノがりの とちゅうで キサマに\n\nあえるとはな。	이거 이거, 오랜만이군\n레딘。 설마 괴물 사냥\n도중에 너를 만나다니。	
9	2	034EF8	2	0000	クッ!こんなときに!	윽! 이럴 때에!	
9	2	034EF8	3	000F	いままでのカリ、まとめてかえすぞ! かかれ!	지금까지의 빚, 한꺼번에\n갚아 주마! 쳐라!	
9	3	034F7C	0	0000	たちどまるな、はしれ、とっぱだ!	멈추지 마라, 달려라,\n돌파다!	
9	4	034F96	0	000F	ちっ!にげられたか、バケモノなどムシしろ!\n\nやつらを おうぞ!	칫! 놓쳤나。 괴물 따위는\n무시해라! 놈들을 쫓는다!	
9	4	034F96	1	0000	どうやら ぬけたようだな、ランスも バケモノ\n\nに ひっかかっているらしい。	빠져나온 듯하군。 랜스도\n괴물에게 걸린 모양이다。	
9	4	034F96	2	005B	しかし、あのバケモノは なんなのでしょうか?	그런데 저 괴물은\n무엇일까요?	
9	4	034F96	3	0000	すくなくとも やつらの なかまではない・・、\n\nまさか じゃあくの ちからが・・・。	적어도 놈들의 동료는\n아니다。。。 설마\n사악의 힘이。。。	
9	4	034F96	4	005C	それでは、バケモノたちも ラングリッサ-を\n\nねらって・・・。	그렇다면 괴물들도\n랑그릿사를 노리고。。。	
9	4	034F96	5	0000	かもしれんな、よし さきをいそぐぞ!	그럴지도 모른다。\n좋다, 서둘러 가자!	
